symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
META,2026-02-27 14:30:00-05:00,2026-02-27 14:45:00-05:00,2026-02-27 15:15:00-05:00,SHORT,65,639.08,641.9,633.43,630.61,2.8247,35,1.8831,False,stop,-98.87,-0.989,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-02-27 14:45:00-05:00,2026-02-27 15:00:00-05:00,2026-02-27 15:15:00-05:00,SHORT,65,265.39,266.54,263.1,261.95,1.1455,87,0.7637,False,stop,-99.66,-0.997,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-03-02 09:30:00-05:00,2026-03-02 09:45:00-05:00,2026-03-02 11:00:00-05:00,SHORT,65,262.89,264.65,259.37,257.61,1.7591,56,1.1728,False,stop,-98.51,-0.985,"below 20-bar average, negative short-term momentum, strong relative volume"
AVGO,2026-03-02 09:30:00-05:00,2026-03-02 09:45:00-05:00,2026-03-02 09:45:00-05:00,SHORT,65,313.37,316.28,307.55,304.64,2.9092,34,1.9395,False,stop,-98.91,-0.989,"below 20-bar average, negative short-term momentum, strong relative volume"
GOOGL,2026-03-02 09:30:00-05:00,2026-03-02 09:45:00-05:00,2026-03-02 11:45:00-05:00,SHORT,65,305.07,307.98,299.26,296.35,2.9072,34,1.9382,False,stop,-98.85,-0.988,"below 20-bar average, negative short-term momentum, strong relative volume"
AVGO,2026-03-02 10:15:00-05:00,2026-03-02 10:30:00-05:00,2026-03-02 11:30:00-05:00,SHORT,65,312.6,316.37,305.06,301.29,3.7685,26,2.5124,False,stop,-97.98,-0.98,"below 20-bar average, negative short-term momentum, strong relative volume"
AVGO,2026-03-02 11:15:00-05:00,2026-03-02 11:30:00-05:00,2026-03-02 15:45:00-05:00,SHORT,65,314.27,318.65,305.51,301.13,4.3805,22,2.9204,False,stop,-96.37,-0.964,"below 20-bar average, negative short-term momentum, strong relative volume"
GOOGL,2026-03-02 11:15:00-05:00,2026-03-02 11:30:00-05:00,2026-03-02 12:30:00-05:00,SHORT,65,304.82,308.1,298.26,294.98,3.2788,30,2.1859,False,stop,-98.36,-0.984,"below 20-bar average, negative short-term momentum, strong relative volume"
META,2026-03-02 15:00:00-05:00,2026-03-02 15:15:00-05:00,2026-03-03 09:30:00-05:00,SHORT,85,652.23,655.61,645.46,642.08,3.3849,29,2.2566,False,stop,-98.16,-0.982,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AAPL,2026-03-02 15:00:00-05:00,2026-03-02 15:15:00-05:00,2026-03-03 10:00:00-05:00,SHORT,65,264.43,265.58,262.14,260.99,1.1466,87,0.7644,True,stop_after_t1,98.61,0.986,"below 20-bar average, negative short-term momentum, strong relative volume"
GOOGL,2026-03-02 15:00:00-05:00,2026-03-02 15:15:00-05:00,2026-03-03 09:30:00-05:00,SHORT,65,305.49,306.91,302.65,301.23,1.4191,70,0.946,True,target_2,248.34,2.483,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-03 11:15:00-05:00,SHORT,65,650.78,655.09,642.14,637.82,4.3171,23,2.8781,True,stop_after_t1,94.98,0.95,"below 20-bar average, negative short-term momentum, strong relative volume"
NVDA,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-03 10:00:00-05:00,SHORT,65,178.42,179.74,175.78,174.46,1.319,75,0.8793,False,stop,-98.93,-0.989,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-04 09:30:00-05:00,SHORT,65,263.05,264.8,259.54,257.79,1.7543,57,1.1696,False,stop,-100.0,-1.0,"below 20-bar average, negative short-term momentum, strong relative volume"
AMZN,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-03 11:15:00-05:00,SHORT,65,204.08,205.63,200.97,199.42,1.5538,64,1.0359,False,stop,-99.44,-0.994,"below 20-bar average, negative short-term momentum, strong relative volume"
AVGO,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-03 09:45:00-05:00,SHORT,65,310.32,313.58,303.8,300.54,3.2597,30,2.1731,False,stop,-97.79,-0.978,"below 20-bar average, negative short-term momentum, strong relative volume"
GOOGL,2026-03-03 09:30:00-05:00,2026-03-03 09:45:00-05:00,2026-03-03 13:30:00-05:00,SHORT,65,300.34,302.81,295.4,292.93,2.47,40,1.6467,False,stop,-98.8,-0.988,"below 20-bar average, negative short-term momentum, strong relative volume"
META,2026-03-03 10:15:00-05:00,2026-03-03 10:30:00-05:00,2026-03-03 10:30:00-05:00,SHORT,65,639.51,645.52,627.49,621.48,6.009,16,4.006,False,stop,-96.14,-0.961,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-03-03 10:15:00-05:00,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,SHORT,65,177.76,179.45,174.37,172.68,1.6945,59,1.1297,False,stop,-99.98,-1.0,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-03-03 10:15:00-05:00,2026-03-03 10:30:00-05:00,2026-03-03 14:30:00-05:00,SHORT,65,262.28,264.54,257.75,255.49,2.2639,44,1.5093,False,stop,-99.61,-0.996,"below 20-bar average, negative short-term momentum, near recent intraday low"
AMZN,2026-03-03 10:15:00-05:00,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,SHORT,65,202.65,204.56,198.84,196.94,1.9055,52,1.2703,False,stop,-99.08,-0.991,"below 20-bar average, negative short-term momentum, near recent intraday low"
