symbol,date,bias,score,entry_time,entry_price,stop_price,target1,target2,shares,exit_reason,exit_price,pnl,r_multiple,rel_vol_at_signal,atr_at_signal
NVDA,2026-02-24,SHORT,80,2026-02-24 20:15:00+00:00,192.697,193.2271,191.9019,191.3719,188,stop,193.2271,-99.65,-1.0,4.956,0.5301
AMZN,2026-02-24,SHORT,80,2026-02-24 20:30:00+00:00,208.24,208.8398,207.3402,206.7404,166,end_of_day,208.555,-52.29,-0.525,3.96,0.5998
AAPL,2026-02-24,SHORT,70,2026-02-24 20:15:00+00:00,271.67,272.3832,270.6002,269.887,140,stop,272.3832,-99.85,-1.0,0.274,0.7132
AAPL,2026-02-25,SHORT,80,2026-02-25 20:30:00+00:00,273.72,274.2979,272.8531,272.2752,173,stop,274.2979,-99.98,-1.0,3.022,0.5779
AVGO,2026-02-25,SHORT,80,2026-02-25 20:45:00+00:00,331.88,333.0474,330.1289,328.9614,85,end_of_day,332.31,-36.55,-0.368,0.813,1.1674
GOOGL,2026-02-25,SHORT,70,2026-02-25 19:45:00+00:00,310.825,311.454,309.8816,309.2526,158,stop,311.454,-99.38,-1.0,0.255,0.629
NVDA,2026-02-26,SHORT,90,2026-02-26 19:45:00+00:00,185.285,186.4277,183.5709,182.4282,87,end_of_day,184.9,33.5,0.337,4.405,1.1427
META,2026-02-27,SHORT,90,2026-02-27 19:45:00+00:00,639.08,640.9632,636.2553,634.3721,53,stop,640.9632,-99.81,-1.0,2.54,1.8831
NVDA,2026-02-27,SHORT,90,2026-02-27 20:45:00+00:00,178.145,178.8622,177.0692,176.352,139,breakeven_after_t1,178.145,74.23,0.745,0.831,0.7172
AAPL,2026-02-27,SHORT,90,2026-02-27 20:00:00+00:00,265.39,266.1537,264.2445,263.4808,130,stop,266.1537,-99.28,-1.0,4.089,0.7637
META,2026-03-02,SHORT,80,2026-03-02 20:15:00+00:00,652.23,654.4866,648.845,646.5884,44,stop,654.4866,-99.29,-1.0,3.501,2.2566
AAPL,2026-03-02,SHORT,80,2026-03-02 20:15:00+00:00,264.43,265.1944,263.2833,262.5189,130,stop,265.1944,-99.38,-1.0,3.005,0.7644
AMZN,2026-03-02,SHORT,80,2026-03-02 19:45:00+00:00,208.29,209.2157,206.9015,205.9758,108,end_of_day,208.2,9.72,0.097,3.946,0.9257
META,2026-03-04,SHORT,80,2026-03-04 20:15:00+00:00,666.01,668.1525,662.7963,660.6539,46,stop,668.1525,-98.55,-1.0,1.052,2.1424
NVDA,2026-03-04,SHORT,80,2026-03-04 20:30:00+00:00,183.075,183.74,182.0774,181.4124,150,end_of_day,182.9,26.25,0.263,1.293,0.665
AAPL,2026-03-04,SHORT,80,2026-03-04 19:45:00+00:00,263.28,264.033,262.1505,261.3975,132,end_of_day,262.45,129.33,1.301,0.844,0.753
NVDA,2026-03-05,SHORT,90,2026-03-05 19:45:00+00:00,180.4101,181.5621,178.6821,177.5301,86,stop,181.5621,-99.07,-1.0,0.802,1.152
AAPL,2026-03-05,SHORT,90,2026-03-05 20:30:00+00:00,258.68,259.6389,257.2416,256.2827,104,stop,259.6389,-99.73,-1.0,1.345,0.9589
GOOGL,2026-03-05,SHORT,90,2026-03-05 20:00:00+00:00,299.1,300.0939,297.6091,296.6152,100,stop,300.0939,-99.39,-1.0,0.854,0.9939
NVDA,2026-03-06,SHORT,90,2026-03-06 20:00:00+00:00,180.05,180.7222,179.0416,178.3694,148,breakeven_after_t1,180.05,74.62,0.75,0.823,0.6722
AMZN,2026-03-06,SHORT,90,2026-03-06 19:45:00+00:00,213.43,214.3914,211.9879,211.0264,104,end_of_day,213.11,33.28,0.333,1.173,0.9614
AVGO,2026-03-06,SHORT,90,2026-03-06 20:15:00+00:00,332.22,334.7619,328.4072,325.8654,39,end_of_day,330.47,68.25,0.688,2.423,2.5419
AMZN,2026-03-09,SHORT,80,2026-03-09 19:00:00+00:00,209.36,210.1177,208.2234,207.4657,131,stop,210.1177,-99.26,-1.0,0.874,0.7577
NVDA,2026-03-09,SHORT,60,2026-03-09 19:00:00+00:00,179.34,180.0494,178.2759,177.5665,140,stop,180.0494,-99.31,-1.0,0.722,0.7094
AVGO,2026-03-09,SHORT,60,2026-03-09 19:00:00+00:00,341.77,343.9315,338.5277,336.3662,46,stop,343.9315,-99.43,-1.0,0.622,2.1615
META,2026-03-10,SHORT,90,2026-03-10 19:30:00+00:00,653.02,655.3543,649.5187,647.1844,42,end_of_day,654.08,-44.52,-0.454,1.307,2.3342
GOOGL,2026-03-10,SHORT,90,2026-03-10 19:00:00+00:00,307.45,308.3955,306.0317,305.0862,105,end_of_day,307.04,43.05,0.434,0.83,0.9455
AVGO,2026-03-10,SHORT,90,2026-03-10 19:00:00+00:00,342.41,344.1298,339.8303,338.1105,58,end_of_day,342.6,-11.02,-0.11,0.941,1.7198
NVDA,2026-03-11,SHORT,90,2026-03-11 19:30:00+00:00,185.3699,185.8792,184.6059,184.0966,196,stop,185.8792,-99.82,-1.0,0.835,0.5093
AAPL,2026-03-11,SHORT,90,2026-03-11 19:15:00+00:00,259.99,260.6043,259.0685,258.4541,162,stop,260.6043,-99.52,-1.0,0.866,0.6143
AMZN,2026-03-11,SHORT,90,2026-03-11 19:15:00+00:00,212.665,213.3444,211.6458,210.9664,147,end_of_day,212.64,3.67,0.037,1.136,0.6794
META,2026-03-12,SHORT,90,2026-03-12 18:45:00+00:00,639.04,641.5359,635.2961,632.8001,40,end_of_day,638.16,35.2,0.353,1.095,2.4959
NVDA,2026-03-12,SHORT,90,2026-03-12 19:15:00+00:00,183.0161,183.6615,182.048,181.4026,154,stop,183.6615,-99.39,-1.0,0.956,0.6454
AAPL,2026-03-12,SHORT,90,2026-03-12 19:45:00+00:00,255.33,255.9585,254.3872,253.7587,159,end_of_day,255.75,-66.78,-0.668,1.116,0.6285
META,2026-03-13,SHORT,90,2026-03-13 19:30:00+00:00,611.82,614.0389,608.4917,606.2728,45,stop,614.0389,-99.85,-1.0,1.016,2.2189
NVDA,2026-03-13,SHORT,90,2026-03-13 19:30:00+00:00,180.71,181.3124,179.8064,179.204,165,end_of_day,180.265,73.43,0.739,0.948,0.6024
AAPL,2026-03-13,SHORT,90,2026-03-13 19:15:00+00:00,250.93,251.7026,249.7711,248.9984,129,end_of_day,250.115,127.15,1.276,1.218,0.7726
