symbol,bias,entry_time,exit_time,entry_price,exit_price,stop_price,target1,target2,atr14,risk_per_share,shares,pnl,r_multiple,exit_reason,trade_date
AVGO,SHORT,2026-02-04 15:45:00+00:00,2026-02-04 17:30:00+00:00,308.65,297.9451,312.2183,301.5134,297.9451,3.5683,3.5683,28,249.78,2.498,T2,2026-02-04
NVDA,SHORT,2026-02-04 17:30:00+00:00,2026-02-04 18:15:00+00:00,172.675,174.2643,174.2643,169.4963,167.907,1.5893,1.5893,62,-98.54,-0.985,STOP,2026-02-04
AAPL,SHORT,2026-02-05 14:30:00+00:00,2026-02-05 14:45:00+00:00,273.66,275.2511,275.2511,270.4779,268.8868,1.5911,1.5911,62,-98.65,-0.986,STOP,2026-02-05
NVDA,SHORT,2026-02-05 15:00:00+00:00,2026-02-05 15:30:00+00:00,171.46,172.934,172.934,168.512,167.038,1.474,1.474,67,-98.76,-0.988,STOP,2026-02-05
AMZN,SHORT,2026-02-05 15:00:00+00:00,2026-02-05 15:30:00+00:00,220.725,222.9516,222.9516,216.2719,214.0453,2.2266,2.2266,44,-97.97,-0.98,STOP,2026-02-05
AVGO,SHORT,2026-02-05 20:15:00+00:00,2026-02-05 20:45:00+00:00,308.105,310.7099,310.7099,302.8953,300.2904,2.6049,2.6049,38,-98.98,-0.99,STOP,2026-02-05
NVDA,SHORT,2026-02-10 14:30:00+00:00,2026-02-10 20:45:00+00:00,189.415,188.61,190.8166,186.6117,185.21,1.4017,1.4017,71,57.15,0.572,EOD_NO_T1,2026-02-10
AMZN,SHORT,2026-02-10 14:30:00+00:00,2026-02-10 14:45:00+00:00,206.675,207.7242,207.7242,204.5766,203.5274,1.0492,1.0492,95,-99.67,-0.997,STOP,2026-02-10
GOOGL,SHORT,2026-02-10 14:30:00+00:00,2026-02-10 14:45:00+00:00,315.0868,316.4324,316.4324,312.3955,311.0498,1.3457,1.3457,74,-99.58,-0.996,STOP,2026-02-10
META,SHORT,2026-02-10 15:45:00+00:00,2026-02-10 17:30:00+00:00,671.9112,675.2383,675.2383,665.2569,661.9298,3.3271,3.3271,30,-99.81,-0.998,STOP,2026-02-10
AVGO,SHORT,2026-02-10 15:45:00+00:00,2026-02-10 20:45:00+00:00,343.355,340.425,345.6834,338.6982,336.3699,2.3284,2.3284,42,123.06,1.231,EOD_NO_T1,2026-02-10
META,SHORT,2026-02-11 14:30:00+00:00,2026-02-11 14:45:00+00:00,668.2284,670.9385,670.9385,662.8082,660.0981,2.7101,2.7101,36,-97.56,-0.976,STOP,2026-02-11
AMZN,SHORT,2026-02-11 14:30:00+00:00,2026-02-11 14:45:00+00:00,204.7718,205.7598,205.7598,202.7958,201.8079,0.988,0.988,101,-99.79,-0.998,STOP,2026-02-11
GOOGL,SHORT,2026-02-11 14:30:00+00:00,2026-02-11 15:00:00+00:00,317.75,314.8207,318.7264,315.7971,314.8207,0.9764,0.9764,102,248.99,2.49,T2,2026-02-11
AVGO,SHORT,2026-02-11 14:45:00+00:00,2026-02-11 15:15:00+00:00,340.515,334.9292,342.377,336.7911,334.9292,1.862,1.862,53,247.64,2.476,T2,2026-02-11
NVDA,SHORT,2026-02-11 15:15:00+00:00,2026-02-11 15:30:00+00:00,188.92,190.0745,190.0745,186.611,185.4565,1.1545,1.1545,86,-99.29,-0.993,STOP,2026-02-11
AAPL,SHORT,2026-02-11 20:15:00+00:00,2026-02-11 20:45:00+00:00,276.05,275.54,277.1498,273.8504,272.7506,1.0998,1.0998,90,45.9,0.459,EOD_NO_T1,2026-02-11
AAPL,SHORT,2026-02-12 14:30:00+00:00,2026-02-12 16:00:00+00:00,272.04,268.2628,273.2991,269.5218,268.2628,1.2591,1.2591,79,249.3,2.493,T2,2026-02-12
AMZN,SHORT,2026-02-12 14:30:00+00:00,2026-02-12 15:45:00+00:00,202.4816,200.3397,203.1956,201.0536,200.3397,0.714,0.714,140,249.89,2.499,T2,2026-02-12
GOOGL,SHORT,2026-02-12 14:30:00+00:00,2026-02-12 15:00:00+00:00,310.97,312.1692,312.1692,308.5716,307.3724,1.1992,1.1992,83,-99.53,-0.995,STOP,2026-02-12
AVGO,SHORT,2026-02-12 15:00:00+00:00,2026-02-12 20:00:00+00:00,338.63,332.1461,340.7913,334.3074,332.1461,2.1613,2.1613,46,248.55,2.485,T2,2026-02-12
META,SHORT,2026-02-12 15:30:00+00:00,2026-02-12 16:30:00+00:00,656.9,645.783,660.6057,649.4887,645.783,3.7057,3.7057,26,240.87,2.409,T2,2026-02-12
NVDA,SHORT,2026-02-12 15:30:00+00:00,2026-02-12 17:00:00+00:00,189.7899,189.7899,190.8435,187.6828,186.6293,1.0535,1.0535,94,99.03,0.99,BE_STOP,2026-02-12
META,SHORT,2026-02-23 14:30:00+00:00,2026-02-23 14:45:00+00:00,648.465,651.1152,651.1152,643.1648,640.5146,2.6501,2.6501,37,-98.06,-0.981,STOP,2026-02-23
AMZN,SHORT,2026-02-23 14:30:00+00:00,2026-02-23 20:45:00+00:00,205.88,205.29,206.9188,203.8025,202.7637,1.0388,1.0388,96,128.04,1.28,EOD_AFTER_T1,2026-02-23
GOOGL,SHORT,2026-02-23 15:30:00+00:00,2026-02-23 20:00:00+00:00,314.08,310.0182,315.4339,311.3721,310.0182,1.3539,1.3539,73,247.77,2.478,T2,2026-02-23
AVGO,SHORT,2026-02-23 15:45:00+00:00,2026-02-23 16:30:00+00:00,331.17,333.3318,333.3318,326.8465,324.6847,2.1618,2.1618,46,-99.44,-0.994,STOP,2026-02-23
NVDA,SHORT,2026-02-26 14:30:00+00:00,2026-02-26 15:15:00+00:00,189.985,187.2121,190.9093,188.1364,187.2121,0.9243,0.9243,108,249.56,2.496,T2,2026-02-26
GOOGL,SHORT,2026-02-26 14:30:00+00:00,2026-02-26 15:00:00+00:00,308.454,305.3156,309.5001,306.3618,305.3156,1.0461,1.0461,95,248.98,2.49,T2,2026-02-26
