window,symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
Window_2,AAPL,2026-01-14 10:45:00-05:00,2026-01-14 11:00:00-05:00,2026-01-14 15:15:00-05:00,SHORT,75,258.07,259.7,254.8,253.17,1.6329,61,1.0886,False,stop,-99.61,-0.996,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_2,AMZN,2026-01-14 10:45:00-05:00,2026-01-14 11:00:00-05:00,2026-01-14 15:45:00-05:00,SHORT,75,237.62,239.62,233.62,231.63,1.9978,50,1.3319,False,end_of_window,47.25,0.472,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AAPL,2026-01-16 09:45:00-05:00,2026-01-16 10:00:00-05:00,2026-01-20 09:30:00-05:00,SHORT,60,256.85,257.86,254.83,253.82,1.0093,99,0.6729,True,target_2,250.31,2.503,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,GOOGL,2026-01-16 09:45:00-05:00,2026-01-16 10:00:00-05:00,2026-01-20 09:30:00-05:00,SHORT,75,330.5,332.08,327.33,325.75,1.5835,63,1.0557,True,target_2,250.2,2.502,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,GOOGL,2026-01-16 10:15:00-05:00,2026-01-16 10:30:00-05:00,2026-01-20 09:30:00-05:00,SHORT,75,329.46,331.27,325.86,324.06,1.8027,55,1.2018,True,target_2,248.78,2.488,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AAPL,2026-01-16 10:30:00-05:00,2026-01-16 10:45:00-05:00,2026-01-20 09:30:00-05:00,SHORT,60,256.36,257.47,254.15,253.04,1.1063,90,0.7375,True,target_2,248.91,2.489,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AMZN,2026-01-16 10:30:00-05:00,2026-01-16 10:45:00-05:00,2026-01-16 11:30:00-05:00,SHORT,75,236.7,238.1,233.89,232.49,1.4049,71,0.9366,False,stop,-99.75,-0.997,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,META,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-20 10:15:00-05:00,SHORT,95,606.86,611.19,598.2,593.87,4.3292,23,2.8861,False,stop,-99.57,-0.996,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,NVDA,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-21 09:45:00-05:00,SHORT,95,180.68,181.99,178.04,176.72,1.3181,75,0.8787,True,stop_after_t1,97.54,0.975,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AAPL,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-20 13:15:00-05:00,SHORT,95,253.08,254.29,250.67,249.46,1.2051,82,0.8034,True,target_2,247.05,2.471,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AMZN,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-20 10:15:00-05:00,SHORT,95,232.66,234.21,229.57,228.03,1.5466,64,1.0311,False,stop,-98.98,-0.99,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AVGO,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-21 09:30:00-05:00,SHORT,95,341.08,344.99,333.28,329.38,3.902,25,2.6013,True,target_2,245.82,2.458,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,GOOGL,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,2026-01-20 09:45:00-05:00,SHORT,95,321.72,323.97,317.21,314.96,2.2527,44,1.5018,False,stop,-99.12,-0.991,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,META,2026-01-20 15:00:00-05:00,2026-01-20 15:15:00-05:00,2026-01-21 09:30:00-05:00,SHORT,60,602.91,605.12,598.48,596.27,2.2143,45,1.4762,False,stop,-99.64,-0.996,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,NVDA,2026-01-20 15:00:00-05:00,2026-01-20 15:15:00-05:00,2026-01-21 09:30:00-05:00,SHORT,75,178.87,179.69,177.22,176.4,0.823,121,0.5487,False,stop,-99.58,-0.996,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AAPL,2026-01-20 15:00:00-05:00,2026-01-20 15:15:00-05:00,2026-01-20 15:45:00-05:00,SHORT,80,246.75,247.77,244.72,243.7,1.0158,98,0.6772,True,stop_after_t1,99.55,0.996,"below 15m 20-bar average, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_3,AAPL,2026-01-22 15:15:00-05:00,2026-01-22 15:30:00-05:00,2026-01-23 09:30:00-05:00,SHORT,80,248.34,249.28,246.45,245.51,0.9428,106,0.6286,True,target_2,249.85,2.499,"below 15m 20-bar average, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
